"ID";"Повна назва товару";"Ціна";"К-ть";"Розд. ціна";"Опт. ціна";"Націнка 15";"ID групи";"Штрих-код виробника";"Націнка 5";"Ціна 20";"Додатково"
"4358";"Станок Venus Embrace Swirl (2 кас)";"150,00";"14";"200,00";"165,00";"172,50";"172";"7702018435456";"157,50";"180,00";""
"5636";"Станок Venus Smooth (2 кас)/6";"153,70";"3";"180,00";"169,10";"176,80";"172";"7702018322985";"161,40";"184,45";""
"2949";"Станок під леза ""Рапіра""";"1,10";"6";"35,00";"33,65";"35,20";"172";"4601236000381";"32,15";"36,70";""
"2787";"Станок під леза YUMA";"0,16";"57";"7,00";"4,90";"5,15";"172";"6988718166581";"4,70";"5,35";""
"43";"Термальна вода бальзам";"39,80";"14";"43,80";"43,80";"45,80";"7";"4810153010377";"41,80";"47,80";""
"4301";"Туш Amore Мега  4D ефект накладних вій 10мл";"74,10";"5";"81,55";"81,55";"85,25";"133";"4810151017279";"77,85";"88,95";""
"4481";"Туш Amore Мега об'єм 10мл";"74,10";"7";"81,55";"81,55";"85,25";"133";"4810151017262";"77,85";"88,95";""
"5019";"Туш Red Queen червона (чорна)";"95,00";"6";"105,00";"104,55";"109,25";"133";"4810151029104";"99,80";"114,00";""
"2967";"Футляр для зубних щіток 1009";"4,60";"74";"7,00";"5,10";"5,30";"23";"2310000197234";"4,85";"5,55";""
"4935";"Цибулевий шампунь";"45,90";"3";"50,50";"50,50";"52,80";"6";"4810153021298";"48,20";"55,10";""
"3580";"ЧЛ шампунь 400 мл Гранат/12";"30,15";"3";"35,00";"33,20";"34,70";"162";"8714100773376";"31,70";"36,20";""
"3618";"ЧЛ шампунь 400мл Календула/12";"30,15";"3";"35,00";"33,20";"34,70";"162";"8722700848141";"31,70";"36,20";""
"1342";"Шовк відновлення бальзам";"37,80";"12";"41,60";"41,60";"43,50";"7";"4810153007650";"39,70";"45,40";""
"5";"Шовк шампунь для ослабленого волосся";"41,80";"16";"46,00";"46,00";"48,10";"6";"4810153006103";"43,90";"50,20";"юмікс"
"4870";"Щітка для взуття 120*40 мм (дерев)";"13,51";"19";"15,00";"14,90";"15,55";"24";"";"14,20";"16,25";""
"3791";"Щітка для взуття з ручкою (дерев)";"13,68";"26";"15,00";"15,05";"15,75";"24";"";"14,40";"16,45";""
"2931";"Щітка для килимів (Велика праска) 1045/24";"15,50";"29";"18,00";"17,05";"17,85";"23";"2310000193748";"16,30";"18,60";""
"2618";"Щітка для килимів (праска)";"8,00";"20";"12,00";"8,80";"9,20";"23";"6934284220066";"8,40";"9,60";""
